GMT-03:00,Altura Preenchida,Altura Prevista,Battery(v),Filtro Fraco Pressure_S1,Filtro Fraco Pressure_S2,Filtro Medio Pressure_S1,Filtro Medio Pressure_S2,Flag_Battery(v),Flag_GMT-03:00,Flag_Pressure_S1,Flag_Pressure_S2,Pressure_S1,Pressure_S2,Resíduo,Tipo_de_Filtro,Flag_origem,Altura Final,datetime_utc
2025-09-21 15:15:00,1.066,1.036,4.239207650273224,1.066,1.103,0.973,1.009,0.0,0.0,0.0,0.0,1.058,1.1,0.030000000000000027,Filtro Fraco Pressure_S1,Dado previsto/redundância,1.063,2025-09-21 15:15:00
2025-09-21 15:20:00,1.1,1.052,4.266256830601093,1.1,1.137,0.985,1.021,0.0,0.0,0.0,0.0,1.113,1.146,0.04800000000000004,Filtro Fraco Pressure_S1,Dado previsto/redundância,1.097,2025-09-21 15:20:00
2025-09-21 15:25:00,1.132,1.068,4.248224043715847,1.132,1.169,0.997,1.033,0.0,0.0,0.0,0.0,1.153,1.185,0.06399999999999983,Filtro Fraco Pressure_S1,Dado previsto/redundância,1.13,2025-09-21 15:25:00
2025-09-21 15:30:00,1.162,1.082,4.269262295081967,1.162,1.199,1.008,1.044,0.0,0.0,0.0,0.0,1.183,1.221,0.07999999999999985,Filtro Fraco Pressure_S1,Dado previsto/redundância,1.161,2025-09-21 15:30:00
2025-09-21 15:35:00,1.191,1.095,4.24672131147541,1.191,1.228,1.019,1.055,0.0,0.0,0.0,0.0,1.172,1.209,0.09600000000000009,Filtro Fraco Pressure_S1,Dado previsto/redundância,1.192,2025-09-21 15:35:00
2025-09-21 15:40:00,1.219,1.107,4.269262295081967,1.219,1.256,1.03,1.066,0.0,0.0,0.0,0.0,1.225,1.259,0.1120000000000001,Filtro Fraco Pressure_S1,Dado previsto/redundância,1.221,2025-09-21 15:40:00
2025-09-21 15:45:00,1.247,1.117,4.240710382513662,1.247,1.284,1.04,1.076,0.0,0.0,0.0,0.0,1.237,1.275,0.13000000000000012,Filtro Fraco Pressure_S1,Dado previsto/redundância,1.25,2025-09-21 15:45:00
2025-09-21 15:50:00,1.276,1.127,4.270765027322405,1.276,1.312,1.05,1.086,0.0,0.0,0.0,0.0,1.244,1.293,0.14900000000000002,Filtro Fraco Pressure_S1,Dado previsto/redundância,1.279,2025-09-21 15:50:00
2025-09-21 15:55:00,1.304,1.135,4.242213114754098,1.304,1.341,1.06,1.096,0.0,0.0,0.0,0.0,1.313,1.344,0.16900000000000004,Filtro Fraco Pressure_S1,Dado previsto/redundância,1.307,2025-09-21 15:55:00
2025-09-21 16:00:00,1.334,1.143,4.275273224043716,1.334,1.37,1.069,1.105,0.0,0.0,0.0,0.0,1.31,1.346,0.19100000000000006,Filtro Fraco Pressure_S1,Dado previsto/redundância,1.336,2025-09-21 16:00:00
2025-09-21 16:05:00,1.363,1.149,4.254234972677596,1.363,1.399,1.078,1.114,0.0,0.0,0.0,0.0,1.359,1.394,0.21399999999999997,Filtro Fraco Pressure_S1,Dado previsto/redundância,1.364,2025-09-21 16:05:00
2025-09-21 16:10:00,1.392,1.153,4.281284153005465,1.392,1.427,1.086,1.122,0.0,0.0,0.0,0.0,1.415,1.452,0.23899999999999988,Filtro Fraco Pressure_S1,Dado previsto/redundância,1.391,2025-09-21 16:10:00
2025-09-21 16:15:00,1.42,1.157,4.254234972677596,1.42,1.455,1.094,1.13,0.0,0.0,0.0,0.0,1.425,1.453,0.2629999999999999,Filtro Fraco Pressure_S1,Dado previsto/redundância,1.418,2025-09-21 16:15:00
2025-09-21 16:20:00,1.447,1.159,4.284289617486339,1.447,1.482,1.102,1.138,0.0,0.0,0.0,0.0,1.454,1.49,0.28800000000000003,Filtro Fraco Pressure_S1,Dado previsto/redundância,1.443,2025-09-21 16:20:00
2025-09-21 16:25:00,1.471,1.161,4.254234972677596,1.471,1.507,1.109,1.145,0.0,0.0,0.0,0.0,1.474,1.512,0.31000000000000005,Filtro Fraco Pressure_S1,Dado previsto/redundância,1.468,2025-09-21 16:25:00
2025-09-21 16:30:00,1.494,1.161,4.285792349726776,1.494,1.53,1.116,1.152,0.0,0.0,0.0,0.0,1.514,1.552,0.33299999999999996,Filtro Fraco Pressure_S1,Dado previsto/redundância,1.491,2025-09-21 16:30:00
2025-09-21 16:35:00,1.515,1.16,4.261748633879781,1.515,1.55,1.122,1.158,0.0,0.0,0.0,0.0,1.513,1.546,0.355,Filtro Fraco Pressure_S1,Dado previsto/redundância,1.513,2025-09-21 16:35:00
2025-09-21 16:40:00,1.534,1.158,4.287295081967214,1.534,1.569,1.128,1.164,0.0,0.0,0.0,0.0,1.534,1.568,0.3760000000000001,Filtro Fraco Pressure_S1,Dado medido,1.534,2025-09-21 16:40:00
2025-09-21 16:45:00,1.551,1.155,4.255737704918033,1.551,1.586,1.134,1.17,0.0,0.0,0.0,0.0,1.548,1.587,0.3959999999999999,Filtro Fraco Pressure_S1,Dado previsto/redundância,1.552,2025-09-21 16:45:00
2025-09-21 16:50:00,1.566,1.152,4.290300546448088,1.566,1.602,1.139,1.174,0.0,0.0,0.0,0.0,1.552,1.588,0.41400000000000015,Filtro Fraco Pressure_S1,Dado previsto/redundância,1.569,2025-09-21 16:50:00
2025-09-21 16:55:00,1.58,1.147,4.146038251366121,1.58,1.616,1.143,1.179,0.0,0.0,0.0,0.0,1.58,1.611,0.43300000000000005,Filtro Fraco Pressure_S1,Dado medido,1.584,2025-09-21 16:55:00
2025-09-21 17:00:00,1.593,1.142,4.230191256830602,1.593,1.628,1.147,1.183,0.0,0.0,0.0,0.0,1.591,1.63,0.45100000000000007,Filtro Fraco Pressure_S1,Dado previsto/redundância,1.596,2025-09-21 17:00:00
2025-09-21 17:05:00,1.604,1.136,4.248224043715847,1.604,1.639,1.15,1.186,0.0,0.0,0.0,0.0,1.597,1.633,0.4680000000000002,Filtro Fraco Pressure_S1,Dado previsto/redundância,1.607,2025-09-21 17:05:00
2025-09-21 17:10:00,1.613,1.13,4.305327868852459,1.613,1.648,1.153,1.189,0.0,0.0,0.0,0.0,1.576,1.617,0.4830000000000001,Filtro Fraco Pressure_S1,Dado previsto/redundância,1.614,2025-09-21 17:10:00
2025-09-21 17:15:00,1.619,1.123,4.242213114754098,1.619,1.654,1.156,1.192,0.0,0.0,0.0,0.0,1.616,1.649,0.496,Filtro Fraco Pressure_S1,Dado previsto/redundância,1.619,2025-09-21 17:15:00
2025-09-21 17:20:00,1.622,1.115,4.2948087431693995,1.622,1.657,1.158,1.194,0.0,0.0,0.0,0.0,1.65,1.679,0.5070000000000001,Filtro Fraco Pressure_S1,Dado previsto/redundância,1.62,2025-09-21 17:20:00
